,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
7091,F36507,6797.0,E,2.0,2021-10-27 11:47:46.773,2021-10-27,2021-10-27 00:00:00,2021-10-27,,403.25,0.0,0
7092,F36508,8490.0,E,2.0,2021-10-27 12:27:45.147,2021-10-27,2021-10-27 00:00:00,2021-10-27,,1680.0000000000002,0.0,0
7093,F36509,8490.0,E,2.0,2021-10-27 12:30:37.817,2021-10-27,2021-10-27 00:00:00,2021-10-27,,902.02,0.0,0
7094,F36510,4480.0,E,2.0,2021-10-27 13:01:57.527,2021-10-27,2021-10-21 00:00:00,2021-11-11,,2904.4,0.0,0
7095,F36511,4480.0,E,2.0,2021-10-27 13:07:43.223,2021-10-27,2021-10-27 00:00:00,2021-11-11,,1137.5,0.0,0
7096,F36512,8186.0,E,2.0,2021-10-27 13:22:23.980,2021-10-27,2021-10-27 00:00:00,2021-10-27,,94.84,0.0,0
7097,F36513,4403.0,E,2.0,2021-10-27 13:35:40.677,2021-10-27,2021-10-27 00:00:00,2021-10-27,,847.0000000000001,0.0,0
7098,F36514,5589.0,E,2.0,2021-10-27 14:02:54.630,2021-10-27,2021-10-27 00:00:00,2021-10-27,,965.0000000000001,0.0,0
7099,F36515,5589.0,E,2.0,2021-10-27 14:04:26.797,2021-10-27,2021-10-26 00:00:00,2021-10-27,,2106.0,0.0,0
7100,F36516,466.0,E,1.0,2021-10-27 14:58:56.587,2021-10-27,2021-09-30 00:00:00,2021-12-26,,21399.510000000002,0.0,0
7101,F36517,5921.0,E,2.0,2021-10-27 15:51:10.033,2021-10-27,2021-10-27 00:00:00,2021-11-11,,3431.0000000000005,0.0,0
7102,F36518,8419.0,E,2.0,2021-10-27 16:14:20.377,2021-10-27,2021-09-08 00:00:00,2021-10-27,,2625.0,0.0,0
7103,F36519,8491.0,E,2.0,2021-10-27 16:47:48.867,2021-10-27,2021-10-27 00:00:00,2021-10-27,,670.0,0.0,0
7104,F36520,5926.0,E,2.0,2021-10-27 16:50:18.813,2021-10-27,2021-10-27 00:00:00,2021-10-27,,1155.92,0.0,0
7105,F36521,8476.0,E,2.0,2021-10-28 10:14:59.167,2021-10-28,2021-10-28 00:00:00,2021-11-27,,8400.0,0.0,0
7106,F36522,3047.0,E,2.0,2021-10-28 10:18:50.817,2021-10-28,2021-10-28 00:00:00,2021-11-12,,912.0000000000001,0.0,0
7107,F36523,8492.0,E,2.0,2021-10-28 10:27:53.220,2021-10-28,2021-10-28 00:00:00,2021-10-28,,617.8,0.0,0
7108,F36524,2483.0,E,2.0,2021-10-28 11:34:25.703,2021-10-28,2021-10-28 00:00:00,2021-10-28,,2047.44,0.0,0
7109,F36525,5926.0,E,2.0,2021-10-28 11:53:55.427,2021-10-28,2021-10-26 00:00:00,2021-10-28,,968.7800000000001,0.0,0
7110,F36526,1485.0,E,2.0,2021-10-28 12:14:24.183,2021-10-28,2021-10-28 00:00:00,2021-10-28,,8700.0,0.0,0
7111,F36527,4797.0,E,2.0,2021-10-28 14:39:28.140,2021-10-28,2021-10-28 00:00:00,2021-11-12,,2938.2500000000005,0.0,0
7112,F36528,4843.0,E,2.0,2021-10-28 15:15:28.340,2021-10-28,2021-10-28 00:00:00,2021-10-28,,3147.0000000000005,0.0,0
7113,F36529,2995.0,E,2.0,2021-10-28 15:37:29.653,2021-10-28,2021-10-28 00:00:00,2021-11-05,,6290.360000000001,0.0,0
7114,F36530,2995.0,E,2.0,2021-10-28 15:47:13.517,2021-10-28,2021-10-28 00:00:00,2021-11-05,,2730.6200000000003,0.0,0
7115,F36531,8383.0,E,3.0,2021-10-28 18:05:28.283,2021-10-28,2021-10-08 00:00:00,2021-10-28,,8951.16,0.0,0
7116,F36532,5926.0,E,2.0,2021-10-28 18:07:17.273,2021-10-28,2021-10-28 00:00:00,2021-10-28,,85.96940000000001,0.0,0
7117,F36533,8170.0,E,2.0,2021-10-29 10:39:58.967,2021-10-29,2021-10-29 00:00:00,2021-10-29,,1729.5,0.0,0
7118,F36534,4486.0,E,6.0,2021-10-29 10:53:26.993,2021-10-29,2021-10-29 00:00:00,2021-10-29,,2250.0,0.0,0
7119,F36535,5926.0,E,2.0,2021-10-29 11:35:58.370,2021-10-29,2021-10-27 00:00:00,2021-10-29,,910.0000000000001,0.0,0
7120,F36536,6059.0,E,5.0,2021-10-29 12:25:24.273,2021-10-29,2021-10-29 00:00:00,2021-10-29,,342.91,0.0,0
7121,F36537,4843.0,E,2.0,2021-10-29 12:57:37.390,2021-10-29,2021-10-25 00:00:00,2021-10-29,,4340.0,0.0,0
7122,F36538,5173.0,E,2.0,2021-10-29 14:57:58.947,2021-10-29,2021-10-08 00:00:00,2021-10-29,,1300.0,0.0,0
7123,F36539,8474.0,E,2.0,2021-10-29 15:52:40.607,2021-10-29,2021-10-15 00:00:00,2021-10-29,,2250.0,0.0,0
7124,F36540,8480.0,E,2.0,2021-10-29 15:58:47.820,2021-10-29,2021-10-21 00:00:00,2021-10-29,,734.0000000000001,0.0,0
7125,F36541,5602.0,E,3.0,2021-10-29 16:05:47.750,2021-10-29,2021-10-26 00:00:00,2021-10-29,,3955.05,0.0,0
7126,F36542,8229.0,E,2.0,2021-10-29 16:11:21.457,2021-10-29,2021-10-26 00:00:00,2021-10-29,,3630.5000000000005,0.0,0
7127,F36543,2357.0,E,2.0,2021-10-29 16:15:47.887,2021-10-29,2021-11-03 00:00:00,2021-10-29,,8750.0,0.0,0
7128,F36544,8489.0,E,2.0,2021-10-29 16:27:23.697,2021-10-29,2021-11-05 00:00:00,2021-10-29,,2857.3500000000004,0.0,0
7129,F36545,6839.0,E,2.0,2021-10-29 16:29:40.710,2021-10-29,2021-11-03 00:00:00,2021-10-29,,7900.000000000001,0.0,0
7130,F36546,3919.0,E,2.0,2021-10-29 16:37:33.657,2021-10-29,2021-10-22 00:00:00,2021-10-29,,728.46,0.0,0
7131,F36547,5233.0,E,2.0,2021-10-29 16:39:39.860,2021-10-29,2021-10-27 00:00:00,2021-10-29,,1684.0000000000002,0.0,0
7132,F36548,8486.0,E,2.0,2021-10-29 16:42:02.377,2021-10-29,2021-11-05 00:00:00,2021-10-29,,4136.0,0.0,0
7133,F36549,8481.0,C,2.0,2021-10-29 16:50:53.997,2021-10-29,2021-10-29 00:00:00,2021-10-29,2021-10-29,431.038,0.0,0
7134,F36550,8483.0,E,2.0,2021-10-29 16:54:21.560,2021-10-29,2021-10-29 00:00:00,2021-10-29,,862.065,0.0,0
7135,F36551,4375.0,E,1.0,2021-10-29 16:55:00.790,2021-10-29,2021-10-29 00:00:00,2021-12-13,,412116.92,0.0,0
7136,F36552,1600.0,E,6.0,2021-10-29 16:58:43.837,2021-10-29,2021-10-29 00:00:00,2021-10-29,,11662.000000000002,0.0,0
7137,F36553,6406.0,E,2.0,2021-10-29 17:00:30.607,2021-10-29,2021-10-29 00:00:00,2021-10-29,,1095.88,0.0,0
7138,F36554,5926.0,E,2.0,2021-10-29 17:02:31.033,2021-10-29,2021-10-29 00:00:00,2021-10-29,,3266.2100000000005,0.0,0
7139,F36555,5926.0,E,2.0,2021-10-29 17:04:39.957,2021-10-29,2021-10-29 00:00:00,2021-10-29,,402.00000000000006,0.0,0
7140,F36556,5926.0,E,2.0,2021-10-29 17:06:34.697,2021-10-29,2021-10-15 00:00:00,2021-10-29,,1128.0,0.0,0
7141,F36557,8481.0,E,2.0,2021-10-29 17:38:39.230,2021-10-29,2021-10-22 00:00:00,2021-10-29,,862.5000000000001,0.0,0
